iter	RMSE
0	2.325074641
1	2.277368027
2	2.236268904
3	2.198497703
4	2.16393069
5	2.119054805
6	2.084994625
7	2.050278208
8	2.01421752
9	1.984678568
10	1.953361426
11	1.913250002
12	1.878699146
13	1.853766185
14	1.8344302
15	1.800307475
16	1.776166978
17	1.76142793
18	1.742584377
19	1.712620041
20	1.689445748
21	1.659846213
22	1.624166556
23	1.608387188
24	1.578661193
25	1.547626966
26	1.516497612
27	1.50014453
28	1.477600675
29	1.441756512
30	1.428562044
31	1.403526444
32	1.379321269
33	1.364325988
34	1.347859173
35	1.321608469
36	1.298315601
37	1.274690403
38	1.245447001
39	1.223728024
40	1.207816827
41	1.187912043
42	1.172920391
43	1.155006202
44	1.133977668
45	1.115308232
46	1.087962461
47	1.069343822
48	1.051039084
49	1.032386498
50	1.011525948
51	0.9918538505
52	0.976584389
53	0.9565564415
54	0.9437139887
55	0.9199615047
56	0.9039529578
57	0.8859522591
58	0.8660184005
59	0.8452589243
60	0.8266285533
61	0.8035236712
62	0.7785475001
63	0.7564453177
64	0.7384577191
65	0.7228757162
66	0.7061187671
67	0.6844965552
68	0.6638286258
69	0.641162163
70	0.6287584796
71	0.6109917402
72	0.5891566781
73	0.5728349664
74	0.5555482096
75	0.5458599671
76	0.5340976546
77	0.5210941817
78	0.5066894828
79	0.4972705532
80	0.4826357708
81	0.4710596586
82	0.4622195086
83	0.4509284358
84	0.4359780721
85	0.425110288
86	0.4112545543
87	0.400019185
88	0.3866562734
89	0.3759067465
90	0.3676013815
91	0.35517916
92	0.3463088168
93	0.3334509989
94	0.3291472338
95	0.3256018996
96	0.3134460244
97	0.3037143661
98	0.2968530556
99	0.2851513581
100	0.2758103279
101	0.2660308708
102	0.2559534325
103	0.247695882
104	0.2386588607
105	0.2303303799
106	0.2268207237
107	0.220143671
108	0.2159383708
109	0.2096567951
110	0.2062051274
111	0.2003814514
112	0.1938712402
113	0.1891722407
114	0.1842318541
