iter	Passed	Remaining
0	177	354534
1	197	197581
2	218	145135
3	237	118313
4	255	101823
5	272	90589
6	295	84122
7	312	77907
8	330	73060
9	348	69253
10	365	66018
11	381	63207
12	400	61162
13	417	59191
14	435	57687
15	454	56324
16	472	55080
17	489	53914
18	508	53065
19	528	52335
20	546	51485
21	564	50760
22	582	50086
23	601	49483
24	619	48940
25	638	48498
26	657	48047
27	676	47632
28	695	47240
29	712	46819
30	729	46364
31	748	46011
32	766	45697
33	784	45371
34	803	45114
35	820	44777
36	838	44460
37	855	44151
38	873	43932
39	892	43742
40	910	43504
41	928	43267
42	946	43092
43	965	42904
44	984	42751
45	1003	42629
46	1023	42512
47	1041	42341
48	1059	42187
49	1078	42064
50	1096	41916
51	1115	41770
52	1132	41591
53	1149	41442
54	1167	41295
55	1185	41149
56	1202	41007
57	1220	40864
58	1238	40745
59	1256	40625
60	1274	40511
61	1291	40373
62	1312	40338
63	1328	40191
64	1345	40065
65	1362	39935
66	1380	39840
67	1399	39771
68	1417	39675
69	1435	39580
70	1456	39578
71	1476	39527
72	1500	39602
73	1525	39702
74	1544	39639
75	1564	39610
76	1587	39636
77	1609	39655
78	1632	39687
79	1651	39641
80	1671	39599
81	1691	39564
82	1712	39541
83	1733	39548
84	1756	39575
85	1777	39554
86	1797	39522
87	1820	39550
88	1845	39619
89	1867	39640
90	1891	39677
91	1909	39611
92	1928	39539
93	1946	39468
94	1964	39389
95	1982	39317
96	2001	39263
97	2020	39219
98	2039	39167
99	2058	39118
100	2078	39071
101	2097	39024
102	2117	38992
103	2136	38948
104	2155	38907
105	2173	38837
106	2192	38788
107	2211	38734
108	2229	38673
109	2247	38615
110	2265	38557
111	2285	38531
112	2304	38478
113	2324	38462
114	2343	38413
